"","FECHA","TC_NOMINAL","RESERVA_INT","RENDIMIENTO_BONO","ORO","PETROLEO","ANIO"
"306",2020-04-10,3.37,69796.70848567,5.43,1680.65,22.9,2020
"307",2020-04-11,3.37,69796.70848567,5.43,1680.65,22.9,2020
"308",2020-04-12,3.37,69796.70848567,5.43,1680.65,22.9,2020
"309",2020-04-13,3.386,70102.99940327,4.9,1680.65,22.36,2020
"310",2020-04-14,3.394,70331.11613229,4.52,1741.9,20.15,2020
"311",2020-04-15,3.408,70340.84186511,4.75,1718.65,19.96,2020
"312",2020-04-16,3.413,70381.18616079,4.7,1729.5,19.82,2020
"313",2020-04-17,3.407,70369.47482092,4.65,1692.55,18.31,2020
"314",2020-04-18,3.407,70369.47482092,4.65,1692.55,18.31,2020
"315",2020-04-19,3.407,70369.47482092,4.65,1692.55,18.31,2020
"316",2020-04-20,3.402,70511.22535694,4.64,1686.2,-36.98,2020
"317",2020-04-21,3.385,74251.79274012,4.75,1682.05,8.91,2020
"318",2020-04-22,3.371,74331.01121386,4.72,1710.55,13.64,2020
"319",2020-04-23,3.372,77461.62107024,4.7,1736.25,15.06,2020
"320",2020-04-24,3.395,73949.99381143,4.72,1715.9,15.99,2020
"321",2020-04-25,3.395,73949.99381143,4.72,1715.9,15.99,2020
"322",2020-04-26,3.395,73949.99381143,4.72,1715.9,15.99,2020
"323",2020-04-27,3.397,73872.34067983,4.76,1714.95,12.17,2020
"324",2020-04-28,3.387,74379.79287021,4.82,1691.55,12.4,2020
"325",2020-04-29,3.366,74383.2616752,4.74,1703.35,15.04,2020
"326",2020-04-30,3.372,73632.32393726,4.8,1702.75,19.23,2020
"327",2020-05-01,3.372,73632.32393726,4.8,1702.75,19.23,2020
"328",2020-05-02,3.372,73632.32393726,4.8,1702.75,19.23,2020
"329",2020-05-03,3.372,73632.32393726,4.8,1702.75,19.23,2020
"330",2020-05-04,3.384,74251.27399512,4.9,1709.1,20.47,2020
"331",2020-05-05,3.388,74559.14237992,4.73,1699.55,24.56,2020
"332",2020-05-06,3.412,74576.50964264,4.77,1691.5,23.88,2020
"333",2020-05-07,3.402,73973.0596001,4.7,1704.05,23.68,2020
"334",2020-05-08,3.407,74509.36025832,4.44,1704.05,24.73,2020
"335",2020-05-09,3.407,74509.36025832,4.44,1704.05,24.73,2020
"336",2020-05-10,3.407,74509.36025832,4.44,1704.05,24.73,2020
"337",2020-05-11,3.415,74336.73704067,4.39,1702.75,24.02,2020
"338",2020-05-12,3.433,74405.66593785,4.38,1702.4,25.76,2020
"339",2020-05-13,3.439,74398.96856253,4.4,1708.4,25.37,2020
"340",2020-05-14,3.449,74256.7671527,4.41,1731.6,27.4,2020
"341",2020-05-15,3.436,74233.82877851,4.4,1735.35,29.44,2020
"342",2020-05-16,3.436,74233.82877851,4.4,1735.35,29.44,2020
"343",2020-05-17,3.436,74233.82877851,4.4,1735.35,29.44,2020
"344",2020-05-18,3.427,74244.21253751,4.38,1734.7,31.83,2020
"345",2020-05-19,3.426,74287.45692605,4.4,1737.95,32.3,2020
